Filename,Extension,Category,File Size,Duration,Creation Date,Original Path,SHA256,Is Duplicate,Duplicate Of,Lines,Chars,Width,Height,DPI,Mode,Bitrate,Sample Rate
img 83.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 83.py,,False,,50,1322,,,,,,
img 70.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 70.py,,False,,222,7120,,,,,,
img 21.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 21.py,,False,,50,1322,,,,,,
img 44.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 44.py,,False,,685,23116,,,,,,
img 15.py,.py,Code,22.72 KB,,05-10-26,/Users/steven/scripts/clean/img/img 15.py,,False,,686,23263,,,,,,
img 2.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 2.py,,False,,685,23116,,,,,,
img 64.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 64.py,,False,,646,21938,,,,,,
img 35.py,.py,Code,5.63 KB,,05-10-26,/Users/steven/scripts/clean/img/img 35.py,,False,,148,5764,,,,,,
img 40.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 40.py,,False,,646,21938,,,,,,
img 97.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 97.py,,False,,223,7147,,,,,,
img 50.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 50.py,,False,,646,21938,,,,,,
img 11.py,.py,Code,22.75 KB,,05-10-26,/Users/steven/scripts/clean/img/img 11.py,,False,,687,23301,,,,,,
img 87.py,.py,Code,6.96 KB,,05-10-26,/Users/steven/scripts/clean/img/img 87.py,,False,,228,7126,,,,,,
img 74.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 74.py,,False,,222,7120,,,,,,
img 25.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 25.py,,False,,646,21938,,,,,,
img 65.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 65.py,,False,,222,7120,,,,,,
img 3.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 3.py,,False,,685,23116,,,,,,
img 51.py,.py,Code,6.63 KB,,05-10-26,/Users/steven/scripts/clean/img/img 51.py,,False,,225,6786,,,,,,
img 96.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 96.py,,False,,222,7120,,,,,,
img 34.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 34.py,,False,,646,21938,,,,,,
img 41.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 41.py,,False,,646,21938,,,,,,
img 75.py,.py,Code,6.92 KB,,05-10-26,/Users/steven/scripts/clean/img/img 75.py,,False,,221,7089,,,,,,
img 10.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 10.py,,False,,222,7120,,,,,,
img 86.py,.py,Code,6.26 KB,,05-10-26,/Users/steven/scripts/clean/img/img 86.py,,False,,176,6407,,,,,,
