filename,package_manager,location,version
pyarrow,pip,unknown,17.0.0
pyasn1,pip,unknown,0.6.1
pyasn1_modules,pip,unknown,0.4.2
PyAutoGUI,pip,unknown,0.9.54
pybase64,pip,unknown,1.4.2
pycairo,pip,unknown,1.29.0
pycares,pip,unknown,5.0.1
pycodestyle,pip,unknown,2.14.0
pycountry,pip,unknown,26.2.16
pycparser,pip,unknown,3.0
pydantic,pip,unknown,2.12.0
pydantic_core,pip,unknown,2.41.1
pydantic-settings,pip,unknown,2.12.0
pydocket,pip,unknown,0.17.5
pydot,pip,unknown,4.0.1
pydub,pip,unknown,0.25.1
pyee,pip,unknown,13.0.0
pyflakes,pip,unknown,3.4.0
PyGetWindow,pip,unknown,0.0.9
PyGithub,pip,unknown,2.9.1
Pygments,pip,unknown,2.19.2
pygount,pip,unknown,3.2.0
pyHanko,pip,unknown,0.35.1
pyhanko-certvalidator,pip,unknown,0.31.1
PyJWT,pip,unknown,2.11.0
PyLaTeX,pip,unknown,1.4.2
pylint,pip,unknown,4.0.2
pymilvus,pip,unknown,2.6.13
pymongo,pip,unknown,4.8.0
PyMsgBox,pip,unknown,2.0.1
PyMuPDF,pip,unknown,1.27.2.3
PyMySQL,pip,unknown,1.1.3
PyNaCl,pip,unknown,1.6.2
pyobjc-core,pip,unknown,12.1
pyobjc-framework-Cocoa,pip,unknown,12.1
pyobjc-framework-Quartz,pip,unknown,12.1
pyobject,pip,unknown,1.3.4
pyobvector,pip,unknown,0.2.26
pyowm,pip,unknown,3.5.0
pypandoc,pip,unknown,1.16.2
pypdf,pip,unknown,6.11.0
PyPDF2,pip,unknown,3.0.1
pypdfium2,pip,unknown,5.4.0
pyperclip,pip,unknown,1.11.0
PyPika,pip,unknown,0.48.9
pyproject_hooks,pip,unknown,1.2.0
PyQt5,pip,unknown,5.15.11
PyQt5-Qt5,pip,unknown,5.15.18
PyQt5_sip,pip,unknown,12.17.1
PyRect,pip,unknown,0.2.0
PyScreeze,pip,unknown,1.0.1
Pysher,pip,unknown,1.0.8
pyTelegramBotAPI,pip,unknown,4.33.0
pytesseract,pip,unknown,0.3.13
pytest,pip,unknown,7.4.4
pytest-asyncio,pip,unknown,0.23.8
pytest-base-url,pip,unknown,2.1.0
pytest-cov,pip,unknown,4.1.0
pytest-playwright,pip,unknown,0.7.2
python-bidi,pip,unknown,0.6.9
python-docx,pip,unknown,1.2.0
python-dotenv,pip,unknown,1.2.1
python-gettext,pip,unknown,5.0
python-iso639,pip,unknown,2026.4.20
python-json-logger,pip,unknown,4.0.0
python-magic,pip,unknown,0.4.27
python-multipart,pip,unknown,0.0.20
python-oxmsg,pip,unknown,0.0.2
python-pptx,pip,unknown,1.0.2
python-slugify,pip,unknown,8.0.4
python-socks,pip,unknown,2.8.1
python-ulid,pip,unknown,3.1.0
pytidb,pip,unknown,0.0.14
pytokens,pip,unknown,0.2.0
pytweening,pip,unknown,1.2.0
pytz,pip,unknown,2025.2
pyvis,pip,unknown,0.3.2
PyWavelets,pip,unknown,1.9.0
pyxnat,pip,unknown,1.6.4
PyYAML,pip,unknown,6.0.3
qdrant-client,pip,unknown,1.15.1
radon,pip,unknown,6.0.1
rank-bm25,pip,unknown,0.2.2
rasterio,pip,unknown,1.4.4
rcsb-api,pip,unknown,1.5.0
rdflib,pip,unknown,7.5.0
redis,pip,unknown,5.0.8
referencing,pip,unknown,0.36.2
regex,pip,unknown,2026.1.15
reka-api,pip,unknown,3.2.0
reportlab,pip,unknown,4.4.10
requests,pip,unknown,2.32.5
requests-futures,pip,unknown,1.0.2
requests-oauthlib,pip,unknown,1.3.1
requests-toolbelt,pip,unknown,1.0.0
resend,pip,unknown,2.30.1
rfc3339-validator,pip,unknown,0.1.4
rich,pip,unknown,14.3.2
rich-rst,pip,unknown,1.3.2
rlcard,pip,unknown,1.2.0
rlPyCairo,pip,unknown,0.4.0
rouge,pip,unknown,1.0.1
rpds-py,pip,unknown,0.30.0
rsa,pip,unknown,4.9.1
ruamel.yaml,pip,unknown,0.18.17
ruamel.yaml.clib,pip,unknown,0.2.15
rubicon-objc,pip,unknown,0.5.4
ruptures,pip,unknown,1.1.10
rustworkx,pip,unknown,0.17.1
s3transfer,pip,unknown,0.17.0
safetensors,pip,unknown,0.6.2
scenedetect,pip,unknown,0.7
schedule,pip,unknown,1.2.2
scholarly,pip,unknown,1.7.11
scikit-image,pip,unknown,0.26.0
scikit-learn,pip,unknown,1.5.2
scipy,pip,unknown,1.15.3
scrapegraph_py,pip,unknown,1.47.0
semantic-version,pip,unknown,2.10.0
sentencepiece,pip,unknown,0.2.1
sentry-sdk,pip,unknown,1.45.1
setuptools,pip,unknown,78.1.1
sgmllib3k,pip,unknown,1.0.0
shellingham,pip,unknown,1.5.4
shtab,pip,unknown,1.8.0
simplejson,pip,unknown,3.20.2
slack_bolt,pip,unknown,1.28.0
slack_sdk,pip,unknown,3.41.0
smart_open,pip,unknown,7.5.0
sniffio,pip,unknown,1.3.1
snowballstemmer,pip,unknown,2.2.0
socid-extractor,pip,unknown,0.0.28
sounddevice,pip,unknown,0.5.5
soupsieve,pip,unknown,2.8.3
SpeechRecognition,pip,unknown,3.14.5
sphinx-autobuild,pip,unknown,2025.8.25
sphinx-copybutton,pip,unknown,0.5.2
sphinxcontrib-napoleon,pip,unknown,0.7
SQLAlchemy,pip,unknown,2.0.35
sqlglot,pip,unknown,30.8.0
sqlite-fts4,pip,unknown,1.0.3
sqlite-migrate,pip,unknown,0.1b0
sqlite-utils,pip,unknown,3.38
sqlmodel,pip,unknown,0.0.38
sse-starlette,pip,unknown,2.1.3
starlette,pip,unknown,0.52.1
statsmodels,pip,unknown,0.14.6
std-uritemplate,pip,unknown,2.0.8
stem,pip,unknown,1.8.2
stripe,pip,unknown,11.6.0
structlog,pip,unknown,24.4.0
surrealdb,pip,unknown,2.0.0
svglib,pip,unknown,1.6.0
tabulate,pip,unknown,0.9.0
tarsier,pip,unknown,0.8.2
tavily-python,pip,unknown,0.5.4
tenacity,pip,unknown,9.1.2
termcolor,pip,unknown,2.4.0
text-unidecode,pip,unknown,1.3
textblob,pip,unknown,0.17.1
tf-playwright-stealth,pip,unknown,1.2.0
threadpoolctl,pip,unknown,3.6.0
tifffile,pip,unknown,2026.3.3
tiktoken,pip,unknown,0.12.0
tinytag,pip,unknown,2.2.1
tokenizers,pip,unknown,0.20.3
toml,pip,unknown,0.10.2
tomlkit,pip,unknown,0.13.3
toolz,pip,unknown,1.1.0
toonify,pip,unknown,1.6.0
torrequest,pip,unknown,0.1.0
tqdm,pip,unknown,4.67.3
traits,pip,unknown,7.1.0
transaction,pip,unknown,5.0
transformers,pip,unknown,4.45.2
tree-sitter,pip,unknown,0.23.2
tree-sitter-embedded-template,pip,unknown,0.25.0
tree-sitter-language-pack,pip,unknown,0.13.0
tree-sitter-python,pip,unknown,0.23.6
tree-sitter-yaml,pip,unknown,0.7.2
typer,pip,unknown,0.23.0
typer-slim,pip,unknown,0.23.0
types-colorama,pip,unknown,0.4.15.20260508
types-mock,pip,unknown,5.2.0.20260508
types-PyYAML,pip,unknown,6.0.12.20260510
types-requests,pip,unknown,2.32.4.20250913
types-setuptools,pip,unknown,75.8.2.20250305
types-tqdm,pip,unknown,4.67.3.20260508
typing_extensions,pip,unknown,4.15.0
typing-inspect,pip,unknown,0.9.0
typing-inspection,pip,unknown,0.4.2
tzdata,pip,unknown,2025.2
tzlocal,pip,unknown,5.3.1
uc-micro-py,pip,unknown,2.0.0
unstructured,pip,unknown,0.16.20
unstructured-client,pip,unknown,0.42.12
update-checker,pip,unknown,0.18.0
uritemplate,pip,unknown,4.2.0
uritools,pip,unknown,6.1.0
urllib3,pip,unknown,2.7.0
uvicorn,pip,unknown,0.40.0
uvloop,pip,unknown,0.22.1
validators,pip,unknown,0.35.0
vine,pip,unknown,5.1.0
virtualenv,pip,unknown,20.35.4
voyageai,pip,unknown,0.3.5
watchfiles,pip,unknown,1.1.1
wcwidth,pip,unknown,0.6.0
weaviate-client,pip,unknown,4.16.2
webcolors,pip,unknown,25.10.0
webdriver-manager,pip,unknown,4.0.2
websocket-client,pip,unknown,1.8.0
websockets,pip,unknown,15.0.1
wheel,pip,unknown,0.47.0
Whoosh,pip,unknown,2.7.4
wikipedia,pip,unknown,1.4.0
wolframalpha,pip,unknown,5.1.3
wrapt,pip,unknown,1.17.3
xai-sdk,pip,unknown,1.12.2
xhtml2pdf,pip,unknown,0.2.17
